,Estrato,Estado,Habitaciones,Baños,Parqueaderos,Área construída,Área privada,Antigüedad,Piso N°,Administración,Precio m²,Precio total (COP),Tipo de apartamento
334,4,,3,2,,65,65,16 a 30 años,,$ 185.000 COP,"$ 4.692.307,69",$305.000.000,
335,4,,3,2,2,84,84,9 a 15 años,,$ 260.000 COP,"$ 5.714.285,71",$480.000.000,
336,5,,3,2,1,89,89,1 a 8 años,,$ 320.000 COP,"$ 6.292.134,83",$560.000.000,
337,5,Sobre planos,,,,,,,,,,,
338,4,,2,2,,53,53,1 a 8 años,,$ 157.000 COP,"$ 5.471.698,11",$290.000.000,
339,3,,3,2,,80,83,más de 30 años,,No definida,$ 3.737.500,$299.000.000,
340,3,,2,2,1,53,53,1 a 8 años,,$ 180.000 COP,"$ 6.037.735,85",$320.000.000,
341,5,,3,2,1,67,67,9 a 15 años,,$ 250.000 COP,"$ 6.776.119,4",$454.000.000,
342,4,Sobre planos,,,,,,,,,,,
343,5,,3,2,1,99,99,1 a 8 años,,$ 380.000 COP,"$ 5.555.555,56",$550.000.000,
344,5,,3,3,1,102,102,9 a 15 años,,$ 720.000 COP,"$ 4.509.803,92",$460.000.000,
345,3,,3,2,,54,54,16 a 30 años,,$ 200.000 COP,"$ 4.259.259,26",$230.000.000,
346,4,,3,2,1,60,60,9 a 15 años,,$ 200.000 COP,$ 5.050.000,$303.000.000,
347,3,,3,2,,60,60,9 a 15 años,,$ 150.000 COP,"$ 4.333.333,33",$260.000.000,
348,5,Sobre planos,,,,,,,,,,,
349,4,,3,2,1,53,53,1 a 8 años,,$ 150.000 COP,"$ 4.716.981,13",$250.000.000,
350,6,,3,4,2,225,225,16 a 30 años,4,$ 1.180.300 COP,"$ 6.888.888,89",$1.550.000.000,
351,4,,3,2,1,74,74,9 a 15 años,,$ 330.000 COP,"$ 5.810.810,81",$430.000.000,
352,6,,5,5,3,265,515,más de 30 años,,$ 995.000 COP,"$ 5.622.641,51",$1.490.000.000,
353,5,,4,3,1,126,126,más de 30 años,,$ 150.000 COP,"$ 3.888.888,89",$490.000.000,
354,5,En construcción,,,,,,,,,,,
355,4,,3,3,1,105,105,16 a 30 años,,$ 170.000 COP,"$ 4.095.238,1",$430.000.000,
356,5,,3,4,1,195,0,más de 30 años,,$ 330.000 COP,"$ 3.846.153,85",$750.000.000,
357,4,,3,2,,70,70,16 a 30 años,,$ 280.000 COP,"$ 5.857.142,86",$410.000.000,
358,2,,3,2,,74,74,9 a 15 años,,$ 194.000 COP,"$ 3.513.513,51",$260.000.000,
359,5,,3,2,1,100,100,1 a 8 años,,$ 231.000 COP,$ 5.200.000,$520.000.000,
360,4,,3,2,1,72,72,más de 30 años,4,$ 279.300 COP,"$ 5.208.333,33",$375.000.000,
361,5,,3,2,1,89,89,16 a 30 años,,$ 320.000 COP,"$ 3.539.325,84",$315.000.000,
362,4,,3,2,,58,58,16 a 30 años,,$ 210.000 COP,"$ 4.310.344,83",$250.000.000,
363,5,En construcción,,,,,,,,,,,
364,5,,4,3,1,140,140,9 a 15 años,1,$ 62.000 COP,$ 4.000.000,$560.000.000,
365,3,,2,2,,65,0,16 a 30 años,2,No definida,"$ 3.846.153,85",$250.000.000,
366,5,Sobre planos,,,,,,,,,,,
367,6,,3,4,3,320,0,16 a 30 años,13,$ 1.800.000 COP,$ 5.993.750,$1.918.000.000,
368,5,,3,2,1,115,115,,7,$ 432.966 COP,"$ 4.663.478,26",$536.300.000,
369,4,,3,2,1,70,70,1 a 8 años,Otro,$ 250.000 COP,"$ 6.142.857,14",$430.000.000,
370,4,En construcción,,,,,,,,,,,
371,4,,3,2,,53,53,9 a 15 años,,$ 174.000 COP,"$ 4.905.660,38",$260.000.000,
372,5,,4,3,1,112,112,16 a 30 años,5,$ 450.000 COP,"$ 3.482.142,86",$390.000.000,
373,3,,3,2,1,58,58,,1,$ 143.100 COP,"$ 3.465.517,24",$201.000.000,
374,5,,3,3,1,140,140,más de 30 años,1,$ 250.000 COP,"$ 4.142.857,14",$580.000.000,
375,5,Sobre planos,,,,,,,,,,,
376,3,,2,1,,37,37,9 a 15 años,,$ 104.000 COP,"$ 4.472.972,97",$165.500.000,
